client_id,request_id,session_id,request_type,sent_at,response_at,elapsed_ms,status
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3f72aee0-ded0-4016-9126-1852e022b8e4,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.018306414Z,2026-09-19T19:16:15.026641597Z,8,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,550199ea-5d82-46e0-b735-9211d14a2245,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.018871355Z,2026-09-19T19:16:15.043285836Z,24,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,511cb2de-f238-48f3-98ae-76991ddae80d,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.018953886Z,2026-09-19T19:16:15.057199261Z,38,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,b13be982-df93-421c-b1af-d5d8f0722b46,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.018994035Z,2026-09-19T19:16:15.067536135Z,48,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,9ba26b3c-002e-4c29-8de3-ce4561fdd5aa,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019028766Z,2026-09-19T19:16:15.073612796Z,54,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,a4bd55c6-820a-497b-bc7e-aa3dfcd05840,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019065881Z,2026-09-19T19:16:15.075097891Z,56,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,d858a3ec-aec7-463c-a8c5-bc296069c10e,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019079271Z,2026-09-19T19:16:15.079863497Z,60,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,b8523647-f95e-45e1-8d83-abe4fc64141c,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019148132Z,2026-09-19T19:16:15.083347703Z,64,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,9defb1be-b312-48a2-b40c-c0b01200f77c,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019184465Z,2026-09-19T19:16:15.086949292Z,67,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,16ff35e4-0265-493d-b7b4-b150a52f2586,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019247658Z,2026-09-19T19:16:15.090818415Z,71,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,b047441a-7444-4e4f-ba52-d7d78c0f2a07,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019302209Z,2026-09-19T19:16:15.091945904Z,72,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,93f2105c-8573-41fd-ad95-b3359925c204,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019319704Z,2026-09-19T19:16:15.093468444Z,74,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,6befe629-f62e-4f3f-95e7-46373927607e,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019394484Z,2026-09-19T19:16:15.095044613Z,75,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,26aa325d-a6e9-4a5f-91cc-a53e9318723f,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019440422Z,2026-09-19T19:16:15.096601964Z,77,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,53662529-6e5b-4fed-a550-eca3ad110d25,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019487321Z,2026-09-19T19:16:15.097859995Z,78,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,9cd3eae4-2ab8-40dc-b1a1-4da8db9158d2,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019528782Z,2026-09-19T19:16:15.099164034Z,79,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,23672e65-2f7d-4734-a42e-a61fca521291,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019583242Z,2026-09-19T19:16:15.101293287Z,81,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,ef5105e5-1445-43ee-9b56-be490b0f2fd6,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019632104Z,2026-09-19T19:16:15.102125621Z,82,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,aa20a84f-1867-471a-b655-ec0ac1331955,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019672003Z,2026-09-19T19:16:15.103353829Z,83,SUCCESS
1f60d3da-a02f-4ca8-81e3-e182b205a0cc,5fa32457-f606-41e2-b7f9-5ae4780cd42d,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.019703539Z,2026-09-19T19:16:15.104603587Z,84,SUCCESS
